epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
77,98.5463,1.6734,0.99152,0.85399,0.57454,0.5,0.46132,0.11584,2.6712,1.34117,1.06249,0.0014856,0.0004952,0.0014856,0.0004952,0.0014856,0.0004952,0.0014856,0.0004952
78,99.7748,1.66561,1.02721,0.85707,0.57117,0.5,0.45038,0.10859,2.75814,1.32171,1.07429,0.0014262,0.0004754,0.0014262,0.0004754,0.0014262,0.0004754,0.0014262,0.0004754
79,100.929,1.72704,1.02067,0.85968,0.57324,0.5,0.44277,0.11295,2.70495,1.28382,1.07374,0.0013668,0.0004556,0.0013668,0.0004556,0.0013668,0.0004556,0.0013668,0.0004556
80,102.229,1.66004,0.97013,0.88,0.57866,0.5,0.4393,0.11969,2.60182,1.29447,1.0791,0.0013074,0.0004358,0.0013074,0.0004358,0.0013074,0.0004358,0.0013074,0.0004358
81,103.45,1.65579,0.96428,0.87266,0.5813,0.49024,0.43315,0.11833,2.56874,1.26224,1.06883,0.001248,0.000416,0.001248,0.000416,0.001248,0.000416,0.001248,0.000416
82,104.59,1.67224,1.00711,0.86627,0.50204,0.44118,0.40903,0.10739,2.68853,1.33223,1.07359,0.0011886,0.0003962,0.0011886,0.0003962,0.0011886,0.0003962,0.0011886,0.0003962
83,105.791,1.74466,1.02614,0.83801,0.50298,0.44118,0.40511,0.10729,2.66324,1.33084,1.06816,0.0011292,0.0003764,0.0011292,0.0003764,0.0011292,0.0003764,0.0011292,0.0003764
84,107.107,1.62226,0.97918,0.84604,0.52862,0.46197,0.40421,0.10695,2.67022,1.36637,1.06882,0.0010698,0.0003566,0.0010698,0.0003566,0.0010698,0.0003566,0.0010698,0.0003566
85,108.287,1.62401,0.94323,0.84936,0.54548,0.44118,0.40777,0.10984,2.56806,1.30468,1.06633,0.0010104,0.0003368,0.0010104,0.0003368,0.0010104,0.0003368,0.0010104,0.0003368
86,109.496,1.63698,0.96411,0.83584,0.56945,0.44118,0.40924,0.11288,2.38341,1.21705,1.06323,0.000951,0.000317,0.000951,0.000317,0.000951,0.000317,0.000951,0.000317
87,110.716,1.64993,0.98747,0.84668,0.55857,0.44118,0.40804,0.12005,2.25955,1.22312,1.06645,0.0008916,0.0002972,0.0008916,0.0002972,0.0008916,0.0002972,0.0008916,0.0002972
88,112.059,1.57531,0.95764,0.87629,0.53427,0.41176,0.41031,0.12983,2.23588,1.24678,1.07752,0.0008322,0.0002774,0.0008322,0.0002774,0.0008322,0.0002774,0.0008322,0.0002774
89,113.407,1.60805,0.90235,0.83754,0.54741,0.46266,0.42537,0.13217,2.28405,1.2564,1.07908,0.0007728,0.0002576,0.0007728,0.0002576,0.0007728,0.0002576,0.0007728,0.0002576
